time,GSR,,,,,,,,,,
-122.05,37.37,,,,,,,,,,
-118.3,34.26,,,,,,,,,,
-117.81,33.78,,,,,,,,,,
-118.36,33.82,,,,,,,,,,
-119.67,36.33,,,,,,,,,, 
-119.56,36.51,,,,,,,,,,
-121.43,38.63,,,,,,,,,,
-120.65,35.48,,,,,,,,,,
-122.84,38.4,,,,,,,,,,
-118.02,34.08,,,,,,,,,,
-118.24,33.98,,,,,,,,,,
-119.12,35.85,,,,,,,,,,
-121.93,37.25,,,,,,,,,,
-117.03,32.97,,,,,,,,,,
-117.97,33.73,,,,,,,,,,
-117.99,33.81,,,,,,,,,,
-120.81,37.53,,,,,,,,,,
-121.2,38.69,,,,,,,,,,
-118.88,34.21,,,,,,,,,,
-122.59,38.01,,,,,,,,,,
-122.15,37.75,,,,,,,,,,
-121.37,38.68,,,,,,,,,,
-118.16,34.07,,,,,,,,,,
-122.2,37.79,,,,,,,,,,
-117.28,33.28,,,,,,,,,,
-118.03,34.16,,,,,,,,,,
-122.42,37.76,,,,,,,,,,
-118.39,33.99,,,,,,,,,,
-118.45,34.07,,,,,,,,,,
-118.48,34.01,,,,,,,,,,
-119.35,36.33,,,,,,,,,,
-118.3,33.91,,,,,,,,,,
-121.13,39.31,,,,,,,,,,
-118.08,34.55,,,,,,,,,,
-118.32,33.94,,,,,,,,,,
-118.11,34,,,,,,,,,,
-122.53,37.97,,,,,,,,,,
-118.02,33.92,,,,,,,,,,
-118.05,33.93,,,,,,,,,,
-119.01,34.23,,,,,,,,,,
-119.32,36.2,,,,,,,,,,
-116.92,32.77,,,,,,,,,,
-118.06,34.15,,,,,,,,,,
-117.27,34.09,,,,,,,,,,
-118.23,34.13,,,,,,,,,,
-117.24,33.17,,,,,,,,,,
-121.91,37.44,,,,,,,,,,
-118.29,33.94,,,,,,,,,,
-121.35,38,,,,,,,,,,
-117.99,33.78,,,,,,,,,,
-120.99,37.7,,,,,,,,,,
-119.42,35.97,,,,,,,,,,
-122.21,37.8,,,,,,,,,,
-118.17,33.8,,,,,,,,,,
-117.9,34.09,,,,,,,,,,
-117.99,33.93,,,,,,,,,,
-121.42,38.72,,,,,,,,,,
-118.77,34.26,,,,,,,,,,
-121.93,37.33,,,,,,,,,,
-121.82,37.25,,,,,,,,,,
-122.29,37.56,,,,,,,,,,
-121.78,37.23,,,,,,,,,,
-118.41,34,,,,,,,,,,
-121.67,40.87,,,,,,,,,,
-118,33.92,,,,,,,,,,
-117.22,32.73,,,,,,,,,,
-121.08,37.69,,,,,,,,,,
-117.53,33.92,,,,,,,,,,
-117.46,34.08,,,,,,,,,,
-117.97,33.86,,,,,,,,,,
-121.92,37.33,,,,,,,,,,
-118.2,34.04,,,,,,,,,,
-118.06,33.8,,,,,,,,,,
-122.05,37.36,,,,,,,,,,
-123.79,39.5,,,,,,,,,,
-120.79,37.49,,,,,,,,,,
-121.89,37.35,,,,,,,,,,
-118.43,34.2,,,,,,,,,,
-118.75,34.17,,,,,,,,,,
-122.47,37.99,,,,,,,,,,
-120.69,37.4,,,,,,,,,,
-118.28,34.05,,,,,,,,,,
-118.44,34.25,,,,,,,,,,
-122.05,38.26,,,,,,,,,,
-121.99,37.35,,,,,,,,,,
-121.02,37.68,,,,,,,,,,
-119.85,36.74,,,,,,,,,,
-118.02,34.08,,,,,,,,,,
-123.52,41.01,,,,,,,,,,
-122.4,37.62,,,,,,,,,,
-118.13,34.15,,,,,,,,,,
-122,37.98,,,,,,,,,,
-118.45,34.25,,,,,,,,,,
-117.5,33.87,,,,,,,,,,
-122.22,37.84,,,,,,,,,,
-119.82,36.64,,,,,,,,,,
-120.21,36.77,,,,,,,,,,
-120.97,38.42,,,,,,,,,,
-121.19,38.87,,,,,,,,,,
-118.2,33.77,,,,,,,,,,
-118.3,34.02,,,,,,,,,,
-122.23,37.79,,,,,,,,,,
-121.31,38.62,,,,,,,,,,
-117.25,32.8,,,,,,,,,,
-118.26,33.99,,,,,,,,,,
-119.39,36.54,,,,,,,,,,
-121.51,38.52,,,,,,,,,,
-119.18,34.27,,,,,,,,,,
-118.18,33.77,,,,,,,,,,
-122.43,37.74,,,,,,,,,,
-117.93,33.91,,,,,,,,,,
-124.16,40.77,,,,,,,,,,
-117.95,33.63,,,,,,,,,,
-118.05,34.1,,,,,,,,,,
-116.97,32.81,,,,,,,,,,
-118.85,34.17,,,,,,,,,,
-117.73,33.63,,,,,,,,,,
-122.07,37.34,,,,,,,,,,
-117.18,33.02,,,,,,,,,,
-118.41,34,,,,,,,,,,
-121.96,37.3,,,,,,,,,,
-121.74,38.55,,,,,,,,,,
-118.21,33.92,,,,,,,,,,
-121.9,36.61,,,,,,,,,,
-117.81,33.84,,,,,,,,,,
-118.19,33.93,,,,,,,,,,
-120.93,37.73,,,,,,,,,,
-122.02,37.96,,,,,,,,,,
-122.47,37.79,,,,,,,,,,
-117.19,34.03,,,,,,,,,,
-117.24,32.8,,,,,,,,,,
-118.13,34.1,,,,,,,,,,
-122.42,37.73,,,,,,,,,,
-118.14,34.71,,,,,,,,,,
-119.76,36.75,,,,,,,,,,
-122.34,37.56,,,,,,,,,,
-122.45,40.46,,,,,,,,,,
-118.29,33.91,,,,,,,,,,
-118.32,33.91,,,,,,,,,,
-122.04,37.36,,,,,,,,,,
-117.39,34.1,,,,,,,,,,
-122.25,37.8,,,,,,,,,,
-117.98,34.1,,,,,,,,,,
-120.06,36.95,,,,,,,,,,
-121.47,39.49,,,,,,,,,,
-122.2,37.79,,,,,,,,,,
-117.23,32.75,,,,,,,,,,
-119.75,36.74,,,,,,,,,,
-117.92,34.03,,,,,,,,,,
-121.64,39.28,,,,,,,,,,
-117.14,32.72,,,,,,,,,,
-122.29,37.54,,,,,,,,,,
-117.91,33.94,,,,,,,,,,
-118.38,34.27,,,,,,,,,,
-122.03,37.6,,,,,,,,,,
-117.13,33.15,,,,,,,,,,
-118.28,34,,,,,,,,,,
-122.45,37.72,,,,,,,,,,
-119.77,36.77,,,,,,,,,,
-117.7,33.64,,,,,,,,,,
-117.07,32.79,,,,,,,,,,
-117.85,33.62,,,,,,,,,,
-117.76,33.71,,,,,,,,,,
-117.19,34.94,,,,,,,,,,
-120.97,37.69,,,,,,,,,,
-117.19,33.64,,,,,,,,,,
-118.38,33.91,,,,,,,,,,
-121.56,38.26,,,,,,,,,,
-118.96,35.87,,,,,,,,,,
-116.96,32.8,,,,,,,,,,
-118.27,33.94,,,,,,,,,,
-119.18,34.19,,,,,,,,,,
-118.23,33.9,,,,,,,,,,
-120.49,37.26,,,,,,,,,,
-121.43,38.64,,,,,,,,,,
-118.14,34.17,,,,,,,,,,
-119.09,35.41,,,,,,,,,,
-118.02,33.71,,,,,,,,,,
-121.53,39.06,,,,,,,,,,
-119.29,34.28,,,,,,,,,,
-121.84,37.34,,,,,,,,,,
-117.99,33.88,,,,,,,,,,
-122.24,37.55,,,,,,,,,,
-121.8,37.31,,,,,,,,,,
-117.43,34.08,,,,,,,,,,
-118.28,34.02,,,,,,,,,,
-117.3,33.06,,,,,,,,,,
-118.2,34.04,,,,,,,,,,
-117.63,34.11,,,,,,,,,,
-121.94,37.33,,,,,,,,,,
-118.07,33.93,,,,,,,,,,
-117.19,32.83,,,,,,,,,,
-118.21,33.89,,,,,,,,,,
-118.41,34.19,,,,,,,,,,
-117,32.8,,,,,,,,,,
-116.92,32.86,,,,,,,,,,
-121.04,38.95,,,,,,,,,,
-122.12,37.45,,,,,,,,,,
-119.48,36.54,,,,,,,,,,
-121.02,37.68,,,,,,,,,,
-123.28,40.77,,,,,,,,,,
-122.89,39.11,,,,,,,,,,
-122.04,37.97,,,,,,,,,,
-118.08,33.81,,,,,,,,,,
-118.31,34.09,,,,,,,,,,
-122.16,37.75,,,,,,,,,,
-121.61,38.38,,,,,,,,,,
-122.1,37.68,,,,,,,,,,
-122.28,37.87,,,,,,,,,,
-116.91,34.24,,,,,,,,,,
-121.83,37.28,,,,,,,,,,
-118.3,33.81,,,,,,,,,,
-117.96,33.7,,,,,,,,,,
-122.14,40.07,,,,,,,,,,
-121.44,38.73,,,,,,,,,,
-122.26,37.55,,,,,,,,,,
-121.64,37.14,,,,,,,,,,
-117.18,34.48,,,,,,,,,,
-122.28,38.34,,,,,,,,,,
-117.9,33.6,,,,,,,,,,
-122.18,37.78,,,,,,,,,,
-121.49,38.51,,,,,,,,,,
-118.19,33.91,,,,,,,,,,
-118.27,34.1,,,,,,,,,,
-121.44,38.61,,,,,,,,,,
-121.91,37.43,,,,,,,,,,
-117.86,33.72,,,,,,,,,,
-118.35,33.92,,,,,,,,,,
-117.26,33.84,,,,,,,,,,
-122.43,37.73,,,,,,,,,,
-121.8,37.99,,,,,,,,,,
-122.58,38.46,,,,,,,,,,
-122.47,37.78,,,,,,,,,,
-118.08,34,,,,,,,,,,
-122,37.35,,,,,,,,,,
-119.02,35.41,,,,,,,,,,
-118.13,34.18,,,,,,,,,,
-121.94,37.27,,,,,,,,,,
-120.51,35.91,,,,,,,,,,
-121.65,38.03,,,,,,,,,,
-121.62,39.79,,,,,,,,,,
-117.08,32.82,,,,,,,,,,
-123.21,39.14,,,,,,,,,,
-119.61,36.33,,,,,,,,,,
-114.98,33.07,,,,,,,,,,
-118.38,34.04,,,,,,,,,,
-117.99,33.7,,,,,,,,,,
-116.26,33.72,,,,,,,,,,
-118.4,34,,,,,,,,,,
-120.64,35.46,,,,,,,,,,
-122.03,37.39,,,,,,,,,,
-118.29,33.88,,,,,,,,,,
-117.02,32.69,,,,,,,,,,
-119.32,36.3,,,,,,,,,,
-122.31,38.01,,,,,,,,,,
-118.86,34.19,,,,,,,,,,
-117.14,33.81,,,,,,,,,,
-118.64,34.22,,,,,,,,,,
-116.63,33.89,,,,,,,,,,
-118.28,34.11,,,,,,,,,,
-119.03,35.38,,,,,,,,,,
-118.26,33.88,,,,,,,,,,
-117.89,33.85,,,,,,,,,,
-122.09,37.38,,,,,,,,,,
-122.94,39.1,,,,,,,,,,
-117.1,32.68,,,,,,,,,,
-118.98,35.41,,,,,,,,,,
-120.23,37.96,,,,,,,,,,
-118.2,33.94,,,,,,,,,,
-121.3,37.95,,,,,,,,,,
-121.74,38.55,,,,,,,,,,
-121.96,37.33,,,,,,,,,,
-120.6,37.36,,,,,,,,,,
-122.47,37.7,,,,,,,,,,
-117.05,32.58,,,,,,,,,,
-117.9,33.87,,,,,,,,,,
-117.23,32.87,,,,,,,,,,
-122.08,37.88,,,,,,,,,,
-118.21,33.8,,,,,,,,,,
-122.08,37.64,,,,,,,,,,
-118.38,34.14,,,,,,,,,,
-118.2,33.8,,,,,,,,,,
-117.62,33.43,,,,,,,,,,
-122.11,37.4,,,,,,,,,,
-122.84,38.98,,,,,,,,,,
-121.26,38.27,,,,,,,,,,
-116.89,33.73,,,,,,,,,,
-122.67,38.44,,,,,,,,,,
-117.94,33.87,,,,,,,,,,
-118.14,34.69,,,,,,,,,,
-122.4,37.59,,,,,,,,,,
-118.08,33.84,,,,,,,,,,
-116.36,33.78,,,,,,,,,,
-117.94,33.85,,,,,,,,,,
-117.47,33.94,,,,,,,,,,
-117.64,33.65,,,,,,,,,,
-118.5,34.24,,,,,,,,,,
-118.19,33.78,,,,,,,,,,
-117.66,34.12,,,,,,,,,,
-122.3,37.97,,,,,,,,,,
-122.14,37.68,,,,,,,,,,
-118.26,33.94,,,,,,,,,,
-118.23,33.93,,,,,,,,,,
-120.96,38.66,,,,,,,,,,
-117.84,35.35,,,,,,,,,,
-119.16,34.2,,,,,,,,,,
-122.65,38.23,,,,,,,,,,
-121.88,37.37,,,,,,,,,,
-118.4,34.04,,,,,,,,,,
-118.27,34.11,,,,,,,,,,
-118.44,34.3,,,,,,,,,,
-121.77,37.68,,,,,,,,,,
-119.99,38.88,,,,,,,,,,
-118.36,33.96,,,,,,,,,,
-118.32,33.97,,,,,,,,,,
-118.27,34.27,,,,,,,,,,
-116.81,33.9,,,,,,,,,,
-118.39,33.96,,,,,,,,,,
-118.07,33.91,,,,,,,,,,
-118.35,34.22,,,,,,,,,,
-118.43,34.02,,,,,,,,,,
-121.73,37.68,,,,,,,,,,
-117.31,32.98,,,,,,,,,,
-122.29,37.56,,,,,,,,,,
-119.69,34.38,,,,,,,,,,
-122.07,38,,,,,,,,,,
-118.05,34.16,,,,,,,,,,
-122.07,37.66,,,,,,,,,,
-121.8,37.27,,,,,,,,,,
-122.69,38.34,,,,,,,,,,
-117.08,32.7,,,,,,,,,,
-119.76,36.73,,,,,,,,,,
-118.37,34.05,,,,,,,,,,
-122.7,38.35,,,,,,,,,,
-118.13,34.01,,,,,,,,,,
-119.35,36.21,,,,,,,,,,
-117.67,34.03,,,,,,,,,,
-117.97,34.15,,,,,,,,,,
-118.08,34.08,,,,,,,,,,
-121.23,38.78,,,,,,,,,,
-118.2,34.02,,,,,,,,,,
-118.17,34.02,,,,,,,,,,
-117.8,34.06,,,,,,,,,,
-118.3,33.97,,,,,,,,,,
-122.47,37.69,,,,,,,,,,
-118.2,33.96,,,,,,,,,,
-117.13,32.91,,,,,,,,,,
-119.77,36.81,,,,,,,,,,
-118.47,34.25,,,,,,,,,,
-122.25,37.8,,,,,,,,,,
-118.5,34.17,,,,,,,,,,
-122.24,37.49,,,,,,,,,,
-117.15,32.93,,,,,,,,,,
-120.85,37.77,,,,,,,,,,
-122.25,37.83,,,,,,,,,,
-118.33,33.77,,,,,,,,,,
-124.15,40.78,,,,,,,,,,
-117.94,33.79,,,,,,,,,,
-121.59,39.15,,,,,,,,,,
-122.69,38.44,,,,,,,,,,
-122.51,38.76,,,,,,,,,,
-117.89,33.61,,,,,,,,,,
-117.19,32.77,,,,,,,,,,
-117.15,32.75,,,,,,,,,,
-122.21,37.48,,,,,,,,,,
-118.25,33.79,,,,,,,,,,
-120.49,40.31,,,,,,,,,,
-118.3,33.74,,,,,,,,,,
-117.14,32.7,,,,,,,,,,
-121.3,37.97,,,,,,,,,,
-119.78,36.75,,,,,,,,,,
-118.38,34.18,,,,,,,,,,
-118.13,34.1,,,,,,,,,,
-118.3,33.73,,,,,,,,,,
-118.44,33.99,,,,,,,,,,
-117.48,34.08,,,,,,,,,,
-122.35,37.97,,,,,,,,,,
-119.71,34.41,,,,,,,,,,
-116.92,32.81,,,,,,,,,,
-122.11,37.66,,,,,,,,,,
-117.41,33.94,,,,,,,,,,
-122.45,37.74,,,,,,,,,,
-118.36,33.8,,,,,,,,,,
-121.66,36.68,,,,,,,,,,
-122.42,37.76,,,,,,,,,,
-118.29,34.05,,,,,,,,,,
-119.82,34.43,,,,,,,,,,
-119.34,36.22,,,,,,,,,,
-121.5,38.61,,,,,,,,,,
-121.88,37.46,,,,,,,,,,
-118.27,33.94,,,,,,,,,,
-122.17,37.73,,,,,,,,,,
-122.22,37.85,,,,,,,,,,
-117.2,32.83,,,,,,,,,,
-120.69,35.49,,,,,,,,,,
-122.7,38.97,,,,,,,,,,
-118.37,34.15,,,,,,,,,,
-118.35,34,,,,,,,,,,
-118.39,37.36,,,,,,,,,,
-118.11,34.2,,,,,,,,,,
-121.72,36.81,,,,,,,,,,
-118.52,34.16,,,,,,,,,,
-118.12,33.9,,,,,,,,,,
-119.69,36.79,,,,,,,,,,
-118.03,33.78,,,,,,,,,,
-120.67,35.62,,,,,,,,,,
-118.43,34.03,,,,,,,,,,
-121.62,39.13,,,,,,,,,,
-118.97,37.64,,,,,,,,,,
-117.25,32.74,,,,,,,,,,
-122.28,37.8,,,,,,,,,,
-118.19,34.14,,,,,,,,,,
-117.9,33.85,,,,,,,,,,
-119.02,37.64,,,,,,,,,,
-118.37,34.2,,,,,,,,,,
-122.41,37.75,,,,,,,,,,
-117.94,33.92,,,,,,,,,,
-118.22,34.12,,,,,,,,,,
-117.24,34.04,,,,,,,,,,
-122.08,37.66,,,,,,,,,,
-122.28,37.85,,,,,,,,,,
-118.21,33.9,,,,,,,,,,
-118.01,33.92,,,,,,,,,,
-118.29,34.18,,,,,,,,,,
-118.21,33.96,,,,,,,,,,
-117.23,32.81,,,,,,,,,,
-117.03,33.13,,,,,,,,,,
-121.85,37.22,,,,,,,,,,
-122.4,37.72,,,,,,,,,,
-120.47,34.98,,,,,,,,,,
-121.14,37.48,,,,,,,,,,
-119.34,36.62,,,,,,,,,,
-117.66,34.08,,,,,,,,,,
-116.84,33.08,,,,,,,,,,
-118.29,34.05,,,,,,,,,,
-119.98,38.94,,,,,,,,,,
-118.1,33.91,,,,,,,,,,
-120.07,36.96,,,,,,,,,,
-119.11,35.39,,,,,,,,,,
-117.72,34.1,,,,,,,,,,
-117.9,33.65,,,,,,,,,,
-121.98,37.29,,,,,,,,,,
-122.03,36.96,,,,,,,,,,
-117.42,34.08,,,,,,,,,,
-117.66,34.11,,,,,,,,,,
-119.29,34.24,,,,,,,,,,
-117.02,32.71,,,,,,,,,,
-122.85,38.62,,,,,,,,,,
-118.33,33.91,,,,,,,,,,
-118.4,34.02,,,,,,,,,,
-118.38,33.84,,,,,,,,,,
-118.05,34.11,,,,,,,,,,
-117.43,33.93,,,,,,,,,,
-118.1,34.16,,,,,,,,,,
-122.53,37.86,,,,,,,,,,
-118.3,33.97,,,,,,,,,,
-118.2,33.89,,,,,,,,,,
-118.02,34.15,,,,,,,,,,
-121.53,39.52,,,,,,,,,,
-117.92,33.9,,,,,,,,,,
-118.37,34.21,,,,,,,,,,
-118.04,33.85,,,,,,,,,,
-118.46,33.98,,,,,,,,,,
-118.05,33.9,,,,,,,,,,
-122.95,40.71,,,,,,,,,,
-122,37.3,,,,,,,,,,
-121.86,37.4,,,,,,,,,,
-119.25,36.56,,,,,,,,,,
-118.21,34.56,,,,,,,,,,
-118.26,34.02,,,,,,,,,,
-117.28,34.15,,,,,,,,,,
-122.44,37.66,,,,,,,,,,
-118.99,35.39,,,,,,,,,,
-117.14,34.06,,,,,,,,,,
-122.15,37.41,,,,,,,,,,
-121.2,38.67,,,,,,,,,,
-122.15,37.47,,,,,,,,,,
-118.34,33.95,,,,,,,,,,
-118.25,34.08,,,,,,,,,,
-119.58,36.1,,,,,,,,,,
-121.31,38.71,,,,,,,,,,
-118.42,34.12,,,,,,,,,,
-117.18,34.06,,,,,,,,,,
-115.9,32.69,,,,,,,,,,
-118.36,33.98,,,,,,,,,,
-122.5,37.6,,,,,,,,,,
-121.5,36.81,,,,,,,,,,
-118.19,33.82,,,,,,,,,,
-117.3,34.15,,,,,,,,,,
-118.42,34.23,,,,,,,,,,
-118.12,33.9,,,,,,,,,,
-119.8,36.79,,,,,,,,,,
-119.74,34.35,,,,,,,,,,
-121.97,37.97,,,,,,,,,,
-117.07,34.05,,,,,,,,,,
-122.29,37.82,,,,,,,,,,
-116.31,33.65,,,,,,,,,,
-118.27,34.01,,,,,,,,,,
-122.44,37.76,,,,,,,,,,
-118.27,34.15,,,,,,,,,,
-118.41,34.03,,,,,,,,,,
-121.45,38.61,,,,,,,,,,
-117.25,32.83,,,,,,,,,,
-119.8,36.82,,,,,,,,,,
-121.31,38.01,,,,,,,,,,
-118.18,34.05,,,,,,,,,,
-122.13,37.37,,,,,,,,,,
-119.75,36.78,,,,,,,,,,
-117.09,32.74,,,,,,,,,,
-122.02,37.33,,,,,,,,,,
-117.2,32.84,,,,,,,,,,
-118.14,34.01,,,,,,,,,,
-122.43,37.78,,,,,,,,,,
-118.1,34.01,,,,,,,,,,
-118.35,34.1,,,,,,,,,,
-118,33.81,,,,,,,,,,
-121.46,38.56,,,,,,,,,,
-118.27,33.87,,,,,,,,,,
-118.26,33.95,,,,,,,,,,
-119.01,35.38,,,,,,,,,,
-117.08,32.8,,,,,,,,,,
-122.2,40.26,,,,,,,,,,
-119.98,38.94,,,,,,,,,,
-122.53,37.95,,,,,,,,,,
-118.3,34.05,,,,,,,,,,
-121.86,39.75,,,,,,,,,,
-122.06,37.33,,,,,,,,,,
-122.45,38.01,,,,,,,,,,
-117.01,32.77,,,,,,,,,,
-120.87,37.76,,,,,,,,,,
-121.79,38.54,,,,,,,,,,
-117.81,33.82,,,,,,,,,,
-117.59,33.66,,,,,,,,,,
-117.36,34.09,,,,,,,,,,
-121.52,39.5,,,,,,,,,,
-122.27,37.84,,,,,,,,,,
-122.21,40.2,,,,,,,,,,
-117.24,33.18,,,,,,,,,,
-122.55,37.98,,,,,,,,,,
-118.45,34,,,,,,,,,,
-117.88,33.85,,,,,,,,,,
-117.18,32.76,,,,,,,,,,
-118.3,33.88,,,,,,,,,,
-122.04,38.28,,,,,,,,,,
-122.43,40.47,,,,,,,,,,
-118.38,33.86,,,,,,,,,,
-119.57,36.09,,,,,,,,,,
-117.87,34.12,,,,,,,,,,
-116.88,32.81,,,,,,,,,,
-118.58,34.21,,,,,,,,,,
-122.04,37.88,,,,,,,,,,
-122.44,37.72,,,,,,,,,,
-121.81,37.37,,,,,,,,,,
-122.5,37.77,,,,,,,,,,
-121.94,37.94,,,,,,,,,,
-118.45,34.12,,,,,,,,,,
-121.7,39.07,,,,,,,,,,
-118.1,34.65,,,,,,,,,,
-119.02,36.06,,,,,,,,,,
-118.06,34.08,,,,,,,,,,
-117.66,33.61,,,,,,,,,,
-117.4,33.94,,,,,,,,,,
-118.19,33.83,,,,,,,,,,
-121.55,39.51,,,,,,,,,,
-121.98,37.14,,,,,,,,,,
-117.06,32.61,,,,,,,,,,
-118.32,34.04,,,,,,,,,,
-117.13,32.76,,,,,,,,,,
-122.5,37.76,,,,,,,,,,
-120.87,37.62,,,,,,,,,,
-118.24,34.22,,,,,,,,,,
-117.69,33.48,,,,,,,,,,
-122.2,39.75,,,,,,,,,,
-117.08,32.64,,,,,,,,,,
-117.91,33.82,,,,,,,,,,
-122,38.73,,,,,,,,,,
-118.29,33.84,,,,,,,,,,
-118.13,33.86,,,,,,,,,,
-118.35,33.89,,,,,,,,,,
-122.13,40.01,,,,,,,,,,
-122.07,37.96,,,,,,,,,,
-117.26,32.85,,,,,,,,,,
-117.87,33.74,,,,,,,,,,
-121.88,37.44,,,,,,,,,,
-121.67,36.58,,,,,,,,,,
-116.89,33.79,,,,,,,,,,
-122.66,38.47,,,,,,,,,,
-121.45,38.54,,,,,,,,,,
-121,37.66,,,,,,,,,,
-117.27,32.84,,,,,,,,,,
-117.87,34.11,,,,,,,,,,
-121.44,37.75,,,,,,,,,,
-118.13,33.76,,,,,,,,,,
-118.31,34.26,,,,,,,,,,
-122,38.37,,,,,,,,,,
-122.27,41.23,,,,,,,,,,
-120.89,37.52,,,,,,,,,,
-118.75,34.29,,,,,,,,,,
-118.18,34.02,,,,,,,,,,
-121.37,38.41,,,,,,,,,,
